AT_AFC Bournemouth,AT_Arsenal,AT_Aston Villa,AT_AwayDraw%,AT_AwayLoss%,AT_AwayWin%,AT_Brentford,AT_Brighton & Hove Albion,AT_Burnley,AT_Chelsea,AT_Crystal Palace,AT_Everton,AT_Fulham,AT_GoalAccuracy,AT_GoalDiffLastNMatches,AT_GoalsConcededPerMatch,AT_GoalsLastNMatches,AT_GoalsPerMatch,AT_HalfTimeGoalsPerMatch,AT_Liverpool,AT_Luton Town,AT_Manchester City,AT_Manchester United,AT_Newcastle United,AT_Nottingham Forest,AT_Possession,AT_Possession%,AT_Sheffield United,AT_ShotOnGoalPerMatch,AT_ShotOnTargetAccuracy,AT_ShotOnTargetPerMatch,AT_Tottenham Hotspur,AT_West Ham United,AT_WinStreak,AT_Wolverhampton Wanderers,AT_XG,B365A,B365D,B365H,HT_AFC Bournemouth,HT_Arsenal,HT_Aston Villa,HT_Brentford,HT_Brighton & Hove Albion,HT_Burnley,HT_Chelsea,HT_Crystal Palace,HT_Everton,HT_Fulham,HT_GoalAccuracy,HT_GoalDiffLastNMatches,HT_GoalsConcededPerMatch,HT_GoalsLastNMatches,HT_GoalsPerMatch,HT_HalfTimeGoalsPerMatch,HT_HomeDraw%,HT_HomeLoss%,HT_HomeWin%,HT_Liverpool,HT_Luton Town,HT_Manchester City,HT_Manchester United,HT_Newcastle United,HT_Nottingham Forest,HT_Possession,HT_Possession%,HT_Sheffield United,HT_ShotOnGoalPerMatch,HT_ShotOnTargetAccuracy,HT_ShotOnTargetPerMatch,HT_Tottenham Hotspur,HT_West Ham United,HT_WinStreak,HT_Wolverhampton Wanderers,HT_XG
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.30000000000000004,0.05263157894736842,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06315789473684211,0.3917525773195876,1.0,0.040000000000000036,0.41420118343195267,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.09153318077803202,0.060150375939849565,0.0818242790073776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.53125,0.40909090909090917,0.15789473684210525,0.30000000000000004,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04370447450572321,0.125,0.0,0.2222222222222222,0.2559999999999999,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.7352941176470589,0.2,0.42105263157894735,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.10842105263157895,0.8350515463917527,0.0,1.0,0.6444906444906444,0.9999999999999999,0.0,0.0,0.4,0.0,0.0,0.03569794050343249,0.1353383458646617,0.17773306505700875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19487179487179487,0.40625,0.6818181818181819,0.05263157894736842,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06763787721123829,0.36458333333333326,0.0,0.4444444444444444,0.352,0.375,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.6470588235294118,0.2,0.2631578947368421,0.625,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.05578947368421052,0.3195876288659794,0.0,0.52,0.723076923076923,0.6666666666666666,0.0,0.0,0.2,0.0,0.0,0.06681922196796337,0.06766917293233082,0.10932260228034876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.42222222222222217,0.46875,0.40909090909090917,0.05263157894736842,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08740894901144641,0.5625,0.0,0.16666666666666663,0.136,0.08333333333333334,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.4,0.10526315789473684,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.07999999999999999,0.5567010309278351,0.0,0.56,0.41420118343195267,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.46086956521739136,0.6090225563909775,0.00938967136150233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7794871794871795,0.59375,0.27272727272727276,0.21052631578947367,0.4,0.75,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07284079084287201,0.4166666666666665,0.0,0.4999999999999999,0.29028571428571426,0.375,0.0,0.0,0.16666666666666666,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.5294117647058824,0.2,0.05263157894736842,0.125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07684210526315788,0.5257731958762886,0.0,0.4,0.4807692307692307,0.38888888888888884,0.0,0.0,0.0,0.0,0.0,0.054919908466819226,0.08270676691729323,0.11468812877263579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6755555555555555,0.59375,0.27272727272727276,0.21052631578947367,0.4,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09989594172736732,0.6875,0.0,0.4999999999999999,0.4137142857142857,0.45833333333333337,1.0,0.0,0.16666666666666666,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.6470588235294118,0.2,0.2631578947368421,0.625,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.07473684210526316,0.5051546391752577,0.0,0.32000000000000006,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.17437070938215102,0.18045112781954892,0.03822937625754526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238095238095237,0.65625,0.0,0.21052631578947367,0.4,0.75,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09989594172736732,0.6875,0.0,0.30555555555555547,0.6399999999999999,0.41666666666666663,0.0,0.0,0.3333333333333333,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4117647058823529,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06210526315789474,0.3814432989690722,0.0,0.4,0.6381118881118881,0.5,0.0,0.0,0.0,0.0,0.0,0.20823798627002288,0.17293233082706766,0.0335345405767941,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8444444444444443,0.53125,0.6818181818181819,0.2631578947368421,0.5,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08012486992715923,0.48958333333333326,0.0,0.4444444444444444,0.4849230769230768,0.45833333333333337,0.0,0.0,0.16666666666666666,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.5,0.4,0.10526315789473684,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.12526315789473685,1.0,0.0,0.44000000000000006,0.36789297658862874,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.04393592677345537,0.043609022556390986,0.1374916163648558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9212121212121211,0.59375,0.27272727272727276,0.21052631578947367,0.4,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612904,0.01041666666666663,0.0,0.36111111111111105,0.3144347826086956,0.29166666666666663,0.0,1.0,0.16666666666666666,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6176470588235294,0.1,0.15789473684210525,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.11473684210526316,0.8969072164948453,0.0,0.4,0.5594405594405594,0.4444444444444444,0.0,0.0,0.4,0.0,0.0,0.018306636155606404,0.12030075187969919,0.28906773977196515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.21111111111111108,0.53125,0.13636363636363638,0.05263157894736842,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08844953173777317,0.5729166666666665,0.0,0.41666666666666663,0.31743999999999994,0.33333333333333337,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3823529411764706,0.7000000000000001,0.05263157894736842,0.125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.042105263157894736,0.1855670103092783,0.0,0.12,0.3076923076923077,0.1111111111111111,0.0,0.0,0.0,0.0,0.41732283464566927,0.4508009153318077,0.42857142857142855,0.008048289738430567,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.5625,0.36363636363636365,0.2631578947368421,0.33333333333333337,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.18522372528616027,0.8194444444444442,0.0,0.4259259259259258,0.352,0.36111111111111105,0.0,0.0,0.16666666666666666,0.0,0.5292096219931272
